epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,459.833,0.49159,0.89062,1,0.20355,0.000235264,0.000235264,0.000235264
2,909.983,0.22374,0.94792,1,0.12531,0.00043422,0.00043422,0.00043422
3,1420.1,0.18043,0.92708,1,0.15805,0.000593906,0.000593906,0.000593906
4,5393.19,0.15346,0.98438,1,0.05481,0.000537285,0.000537285,0.000537285
5,5874.7,0.09383,0.97396,1,0.05895,0.00047838,0.00047838,0.00047838
6,6371.01,0.11141,0.97917,1,0.05655,0.000419475,0.000419475,0.000419475
7,6859.88,0.12217,0.98958,1,0.03688,0.00036057,0.00036057,0.00036057
8,7365.69,0.06411,0.97917,1,0.04462,0.000301665,0.000301665,0.000301665
9,7889.5,0.06521,0.98438,1,0.03453,0.00024276,0.00024276,0.00024276
10,8416.33,0.05051,0.98958,1,0.02415,0.000183855,0.000183855,0.000183855
11,8948.41,0.04869,0.98958,1,0.02572,0.00012495,0.00012495,0.00012495
12,9464.89,0.04471,0.98958,1,0.02288,6.6045e-05,6.6045e-05,6.6045e-05
