epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.417,2.26573,4.20326,1.64364,0.00187,0.17311,0.09251,0.04431,1.81218,4.45281,1.44982,0.00020006,0.00020006,0.00020006
2,591.884,1.50945,3.1015,1.1903,0.00434,0.45927,0.18626,0.09522,1.64959,3.92462,1.17713,0.000397999,0.000397999,0.000397999
3,1952.87,1.48442,2.54029,1.13258,0.64526,0.32809,0.25965,0.13918,1.58867,3.70659,1.167,0.000578962,0.000578962,0.000578962
4,2402.68,1.39793,2.08118,1.11084,0.86528,0.09079,0.37773,0.20092,1.58066,3.37197,1.14143,0.000742949,0.000742949,0.000742949
5,2890.21,1.3406,1.83368,1.10578,0.75976,0.15324,0.33305,0.1946,1.5149,3.25841,1.13295,0.000889958,0.000889958,0.000889958
6,5463.14,1.35224,1.72863,1.1144,0.54751,0.39167,0.475,0.24023,1.56454,2.81515,1.1483,0.00101999,0.00101999,0.00101999
7,5864.28,1.33171,1.61172,1.0941,0.73987,0.39534,0.52016,0.28775,1.47451,2.68511,1.12713,0.00108947,0.00108947,0.00108947
8,6182.8,1.29067,1.62515,1.07902,0.66162,0.57586,0.57701,0.37045,1.35232,2.16748,1.11949,0.00103288,0.00103288,0.00103288
9,6523.27,1.24067,1.41926,1.05869,0.74169,0.52246,0.63339,0.37537,1.45195,2.26671,1.15568,0.000976293,0.000976293,0.000976293
10,6875.14,1.26006,1.41217,1.06413,0.59056,0.63401,0.61149,0.37015,1.43883,2.04794,1.11202,0.000919704,0.000919704,0.000919704
11,7274.33,1.20803,1.31439,1.03504,0.78968,0.75485,0.77109,0.51436,1.25013,1.57135,1.04505,0.000863116,0.000863116,0.000863116
12,7637.72,1.17305,1.27992,1.04389,0.76354,0.79006,0.79032,0.53639,1.19716,1.41915,1.03786,0.000806528,0.000806528,0.000806528
13,8123.65,1.15881,1.22214,1.03456,0.77673,0.74564,0.78174,0.52278,1.20924,1.41892,1.03234,0.000749939,0.000749939,0.000749939
14,8496,1.16374,1.23771,1.04685,0.74187,0.77122,0.77196,0.49924,1.21579,1.4671,1.02772,0.000693351,0.000693351,0.000693351
15,8839.5,1.13654,1.17616,1.01977,0.80193,0.78652,0.80975,0.52674,1.25177,1.40359,1.05503,0.000636762,0.000636762,0.000636762
16,9567.93,1.09303,1.38245,1.01487,0.74927,0.81999,0.79119,0.5139,1.23198,1.50125,1.03004,0.000580174,0.000580174,0.000580174
17,9907.21,1.08525,1.27207,1.01175,0.86865,0.7977,0.82484,0.56251,1.192,1.28981,1.04349,0.000523586,0.000523586,0.000523586
18,10260.2,1.03906,1.20922,1.01283,0.83052,0.82945,0.82424,0.55671,1.18567,1.28742,1.00643,0.000466997,0.000466997,0.000466997
19,10646,1.0309,1.21219,0.9977,0.78077,0.8214,0.81092,0.55272,1.18246,1.27404,1.0064,0.000410409,0.000410409,0.000410409
20,11028,1.0043,1.14481,0.98045,0.83762,0.81013,0.82648,0.56902,1.14756,1.2688,0.98595,0.00035382,0.00035382,0.00035382
21,11464.7,0.99737,1.12957,0.98638,0.78814,0.80888,0.82258,0.56385,1.15443,1.28549,0.98664,0.000297232,0.000297232,0.000297232
22,11972.6,0.99463,1.12083,0.98575,0.78591,0.85481,0.82809,0.57213,1.1118,1.21479,0.98774,0.000240644,0.000240644,0.000240644
23,12343.2,0.95716,1.06941,0.95028,0.82567,0.84825,0.83334,0.60101,1.06662,1.15347,0.97442,0.000184055,0.000184055,0.000184055
24,12662.9,0.95164,1.06656,0.95158,0.8463,0.82916,0.8311,0.60127,1.08157,1.1255,0.97581,0.000127467,0.000127467,0.000127467
25,13063.6,0.94201,1.04014,0.96502,0.8538,0.82939,0.83255,0.60231,1.06772,1.1093,0.97545,7.08784e-05,7.08784e-05,7.08784e-05
